19:51:18.470 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
19:51:18.472 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
19:51:18.535 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=59ms
19:51:18.535 |V| JetEnvironment                | :1                 | HostInit phase completed.
19:51:18.535 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
19:51:18.544 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir /opt/idea/plugins/clion-radler/DotFiles.
19:51:18.550 |V| DeployedPackages              | :1                 | Scanning folder /opt/idea/plugins/clion-radler/DotFiles for Deployed Packages. Picking nugets? True!
19:51:18.637 |V| DeployedPackages              | :1                 | Scanned fir /opt/idea/plugins/clion-radler/DotFiles, lwtime 2025-08-11T05:03:07, metadata files (50pcs)[JetBrains.Debugger.Debugger.BrowserHub.JetMetadata.sstg, JetBrains.Debugger.Debugger.Host.Core.JetMetadata.sstg, JetBrains.Debugger.Debugger.Host.JetMetadata.sstg, JetBrains.Debugger.Debugger.Worker.Core.JetMetadata.sstg, JetBrains.Debugger.Debugger.Worker.JetMetadata.sstg, JetBrains.Debugger.Libs.JetMetadata.sstg, JetBrains.Debugger.Tools.ProcessEnumerator.Core.JetMetadata.sstg, JetBrains.ExternalAnnotations.JetMetadata.sstg, JetBrains.Platform.Core.ComponentModel.Legacy.JetMetadata.sstg, JetBrains.Platform.Core.Ide.JetMetadata.sstg, JetBrains.Platform.Core.IisExpress.JetMetadata.sstg, JetBrains.Platform.Core.MsBuild.JetMetadata.sstg, JetBrains.Platform.Core.Shell.JetMetadata.sstg, JetBrains.Platform.Core.Symbols.JetMetadata.sstg, JetBrains.Platform.Core.Text.JetMetadata.sstg, JetBrains.Platform.Core.ViewModels.JetMetadata.sstg, JetBrains.Platform.Installer.JetMetadata.sstg, JetBrains.Platform.Interop.CommandLine.JetMetadata.sstg, JetBrains.Platform.Interop.dotMemoryUnit.Interop.Console.JetMetadata.sstg, JetBrains.Platform.Interop.dotMemoryUnit.Interop.Ide.JetMetadata.sstg, JetBrains.Platform.RdProtocol.JetMetadata.sstg, JetBrains.Platform.UIInteractive.Common.JetMetadata.sstg, JetBrains.Platform.UIInteractive.Shell.JetMetadata.sstg, JetBrains.Platform.UIInteractive.Wpf.Symbols.JetMetadata.sstg, JetBrains.Psi.Features.AI.Src.Core.JetMetadata.sstg, JetBrains.Psi.Features.AI.Src.Web.JetMetadata.sstg, JetBrains.Psi.Features.Core.JetMetadata.sstg, JetBrains.Psi.Features.Cpp.Src.AI.JetMetadata.sstg, JetBrains.Psi.Features.Cpp.Src.Core.JetMetadata.sstg, JetBrains.Psi.Features.SolutionBuilder.JetMetadata.sstg, JetBrains.Psi.Features.src.JetMetadata.sstg, JetBrains.Psi.Features.Tasks.JetMetadata.sstg, JetBrains.Psi.Features.UnitTesting.JetMetadata.sstg, JetBrains.Psi.Features.Web.Core.JetMetadata.sstg, JetBrains.ReSharperAutomationTools.src.InspectAndCleanupToolCommon.JetMetadata.sstg, JetBrains.ReSharperAutomationTools.src.Roslyn.JetMetadata.sstg, JetBrains.ReSharperCpp.NativeSelfProfiler.JetMetadata.sstg, JetBrains.ReSharperCpp.RiderPlugin.JetMetadata.sstg, JetBrains.Rider.BrowserHotReload.JetMetadata.sstg, JetBrains.Rider.External.Iis.JetMetadata.sstg, JetBrains.Rider.External.Templating.TemplateEngine.JetMetadata.sstg, JetBrains.Rider.External.Wcf.SvcUtil.JetMetadata.sstg, JetBrains.Rider.Native.Core.windows-arm64.Release.JetMetadata.sstg, JetBrains.Rider.Native.Core.windows-x64.Release.JetMetadata.sstg, JetBrains.Rider.Native.Core.windows-x86.Release.JetMetadata.sstg, JetBrains.Rider.RdBackend.Common.JetMetadata.sstg, JetBrains.Rider.Rider.Backend.JetMetadata.sstg, JetBrains.Rider.RiderProduct.JetMetadata.sstg, JetBrains.Rider.WinForms.Designer.JetMetadata.sstg, JetBrains.Rider.XamlHotReload.JetMetadata.sstg], module files (419pcs)[antlr.runtime.dll, Appccelerate.StateMachine.dll, Autofac.dll, BouncyCastle.Cryptography.dll, ChromeProtocol.Core.dll, ChromeProtocol.Domains.dll, ChromeProtocol.Runtime.dll, ClrStack.exe, ClrStack32.exe, CsLex.exe, Debugger.Common.dll, DebuggerComInteropAnalyzer.dll, DotNetZip.dll, EnvDTE.dll, EnvDTE100.dll, EnvDTE80.dll, EnvDTE90.dll, EnvDTE90a.dll, ErrorsGen.exe, Google.Protobuf.dll, JetBrains.Annotations.dll, JetBrains.BrowserRefresh.Agent.Host.exe, JetBrains.Build.Platform.DistributedCache.dll, JetBrains.ClrStack.Worker.exe, JetBrains.ClrStack.Worker32c.exe, JetBrains.ClrStack.Worker64ac.exe, JetBrains.ClrStack.Worker64c.exe, JetBrains.CommandLine.Interop.dll, JetBrains.Debugger.BrowserHub.exe, JetBrains.Debugger.CorApi.dll, JetBrains.Debugger.Host.Core.dll, JetBrains.Debugger.Host.dll, JetBrains.Debugger.Tools.ProcessEnumerator.Core.dll, JetBrains.Debugger.Worker.Core.dll, JetBrains.Debugger.Worker.exe, JetBrains.Debugger.Worker32c.exe, JetBrains.Debugger.Worker64ac.exe, JetBrains.Debugger.Worker64c.exe, JetBrains.Decompiler.Core.dll, JetBrains.dotMemoryUnit.Interop.Console.dll, JetBrains.dotMemoryUnit.Interop.Ide.dll, JetBrains.EntityFramework.Features.dll, JetBrains.EntityFramework.Runner620.exe, JetBrains.FormatRipper.dll, JetBrains.HabitatDetector.dll, JetBrains.HotReloadAgent.Core.dll, JetBrains.HotReloadAgent.Maui.dll, JetBrains.HotReloadAgent.XamarinForms.dll, JetBrains.ICorDebug.dll, JetBrains.ICSharpCode.SharpZipLib.dll, JetBrains.IisExpress.Worker.exe, JetBrains.JITDebuggerLauncher.exe, JetBrains.JsonRpc.dll, JetBrains.Lifetimes.dll, JetBrains.Microsoft.AspNetCore.Watch.BrowserRefresh.dll, JetBrains.Microsoft.Diagnostics.Runtime.dll, JetBrains.Microsoft.Extensions.DotNetDeltaApplier.dll, JetBrains.MSBuild.Logger.Api.dll, JetBrains.Platform.BuildEngine.dll, JetBrains.Platform.BuildEvents.dll, JetBrains.Platform.BuildInterfaces.dll, JetBrains.Platform.ComponentModel.dll, JetBrains.Platform.ComponentModel.Legacy.dll, JetBrains.Platform.Core.dll, JetBrains.Platform.DocumentManager.dll, JetBrains.Platform.DocumentModel.dll, JetBrains.Platform.Ide.dll, JetBrains.Platform.IisExpressHost.dll, JetBrains.Platform.IisExpressTask.dll, JetBrains.Platform.Installer.Bootstrap.exe, JetBrains.Platform.Installer.Cleanup.exe, JetBrains.Platform.Installer.exe, JetBrains.Platform.Interop.dll, JetBrains.Platform.Metadata.dll, JetBrains.Platform.MsBuildAutoDetectTask.dll, JetBrains.Platform.MsBuildEventLogger.dll, JetBrains.Platform.MsBuildHost.dll, JetBrains.Platform.MsBuildTask.dll, JetBrains.Platform.MsBuildTask.v15.dll, JetBrains.Platform.MsBuildTask.v17.dll, JetBrains.Platform.MsBuildTask.v4.dll, JetBrains.Platform.ProjectModel.dll, JetBrains.Platform.ProjectModel.Host.dll, JetBrains.Platform.ProjectModel.NuGet.dll, JetBrains.Platform.RdFramework.Actions.dll, JetBrains.Platform.RdFramework.Shell.dll, JetBrains.Platform.RdProtocol.dll, JetBrains.Platform.Shell.dll, JetBrains.Platform.Symbols.dll, JetBrains.Platform.Text.Protocol.dll, JetBrains.Platform.TextControl.dll, JetBrains.Platform.UIInteractive.Shell.Common.dll, JetBrains.Platform.UIInteractive.Shell.dll, JetBrains.Platform.UIInteractive.Wpf.Symbols.dll, JetBrains.Platform.Util.dll, JetBrains.Platform.Util.NetFX.dll, JetBrains.Platform.Util.Text.dll, JetBrains.Platform.ViewModels.dll, JetBrains.ProcessEnumerator.Worker.exe, JetBrains.ProcessEnumerator.Worker32.exe, JetBrains.Profiler.Api.dll, JetBrains.Profiler.SelfApi.dll, JetBrains.Psi.Features.Tasks.Build.dll, JetBrains.RdBackend.Common.dll, JetBrains.RdFramework.dll, JetBrains.RdFramework.Reflection.dll, JetBrains.ReSharper.Cpp.dll, JetBrains.ReSharper.Daemon.BuildScripts.dll, JetBrains.ReSharper.Daemon.CSharp.dll, JetBrains.ReSharper.Daemon.dll, JetBrains.ReSharper.Daemon.Engine.dll, JetBrains.ReSharper.Daemon.Protobuf.dll, JetBrains.ReSharper.Daemon.Resx.dll, JetBrains.ReSharper.Daemon.Specific.dll, JetBrains.ReSharper.Daemon.VB.dll, JetBrains.ReSharper.Daemon.Web.dll, JetBrains.ReSharper.Daemon.Xaml.dll, JetBrains.ReSharper.Daemon.Xml.dll, JetBrains.ReSharper.ExternalSources.dll, JetBrains.ReSharper.Feature.Services.AI.Cpp.dll, JetBrains.ReSharper.Feature.Services.AI.dll, JetBrains.ReSharper.Feature.Services.AI.Web.dll, JetBrains.ReSharper.Feature.Services.BuildScripts.dll, JetBrains.ReSharper.Feature.Services.Cpp.dll, JetBrains.ReSharper.Feature.Services.Cpp.UnitTesting.dll, JetBrains.ReSharper.Feature.Services.CSharp.dll, JetBrains.ReSharper.Feature.Services.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.CSharp.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.VB.dll, JetBrains.ReSharper.Feature.Services.Protobuf.dll, JetBrains.ReSharper.Feature.Services.RegExp.dll, JetBrains.ReSharper.Feature.Services.Resx.dll, JetBrains.ReSharper.Feature.Services.VB.dll, JetBrains.ReSharper.Feature.Services.Web.dll, JetBrains.ReSharper.Feature.Services.Xaml.dll, JetBrains.ReSharper.Feature.Services.Xml.dll, JetBrains.ReSharper.Features.Altering.dll, JetBrains.ReSharper.Features.Environment.dll, JetBrains.ReSharper.Features.Inspections.dll, JetBrains.ReSharper.Features.Intellisense.dll, JetBrains.ReSharper.Features.Intellisense.VB.dll, JetBrains.ReSharper.Features.Internal.dll, JetBrains.ReSharper.Features.Navigation.dll, JetBrains.ReSharper.Features.Navigation.VB.dll, JetBrains.ReSharper.Features.RegExp.dll, JetBrains.ReSharper.Features.ReSpeller.dll, JetBrains.ReSharper.Features.Running.dll, JetBrains.ReSharper.Features.SolBuilderDuo.dll, JetBrains.ReSharper.Features.StructuralSearch.dll, JetBrains.ReSharper.Features.Web.dll, JetBrains.ReSharper.Features.Web.Linters.dll, JetBrains.ReSharper.Features.WinForms.Designer.External.Core.exe, JetBrains.ReSharper.Features.WinForms.Designer.External.dll, JetBrains.ReSharper.Features.WinForms.Designer.Host.dll, JetBrains.ReSharper.Features.Xaml.Previewer.External.exe, JetBrains.ReSharper.Features.Xaml.Previewer.Host.dll, JetBrains.ReSharper.Features.Xml.dll, JetBrains.ReSharper.I18n.Services.Asp.CSharp.dll, JetBrains.ReSharper.I18n.Services.Asp.dll, JetBrains.ReSharper.I18n.Services.Asp.VB.dll, JetBrains.ReSharper.I18n.Services.CSharp.dll, JetBrains.ReSharper.I18n.Services.dll, JetBrains.ReSharper.I18n.Services.JavaScript.dll, JetBrains.ReSharper.I18n.Services.VB.dll, JetBrains.ReSharper.I18n.Services.Xaml.dll, JetBrains.ReSharper.InplaceRefactorings.dll, JetBrains.ReSharper.Intentions.BuildScripts.dll, JetBrains.ReSharper.Intentions.CSharp.dll, JetBrains.ReSharper.Intentions.dll, JetBrains.ReSharper.Intentions.Resx.dll, JetBrains.ReSharper.Intentions.VB.dll, JetBrains.ReSharper.Intentions.Web.dll, JetBrains.ReSharper.Intentions.Xaml.dll, JetBrains.ReSharper.Intentions.Xml.dll, JetBrains.ReSharper.LiveTemplates.dll, JetBrains.ReSharper.LiveTemplates.VB.dll, JetBrains.ReSharper.NewRefactorings.dll, JetBrains.ReSharper.Psi.Asm.dll, JetBrains.ReSharper.Psi.BuildScripts.dll, JetBrains.ReSharper.Psi.CSharp.dll, JetBrains.ReSharper.Psi.dll, JetBrains.ReSharper.Psi.IL.dll, JetBrains.ReSharper.Psi.Protobuf.dll, JetBrains.ReSharper.Psi.RegExp.dll, JetBrains.ReSharper.Psi.Resx.dll, JetBrains.ReSharper.Psi.VB.ConstantCalculatorLib.dll, JetBrains.ReSharper.Psi.VB.dll, JetBrains.ReSharper.Psi.Web.dll, JetBrains.ReSharper.Psi.Xaml.dll, JetBrains.ReSharper.Psi.Xml.dll, JetBrains.ReSharper.Refactorings.BuildScripts.dll, JetBrains.ReSharper.Refactorings.CSharp.dll, JetBrains.ReSharper.Refactorings.Html.dll, JetBrains.ReSharper.Refactorings.VB.dll, JetBrains.ReSharper.Refactorings.Xaml.dll, JetBrains.ReSharper.Resources.dll, JetBrains.ReSharper.SolutionAnalysis.dll, JetBrains.ReSharper.TestRunner.Abstractions.dll, JetBrains.ReSharper.TestRunner.Adapters.MsTest.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.NUnit2.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.NUnit3.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.UWP.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.VsTest.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.XUnit.Tasks.dll, JetBrains.ReSharper.UnitTestFramework.dll, JetBrains.ReSharper.UnitTesting.Analysis.dll, JetBrains.ReSharper.UnitTesting.Analysis.VB.dll, JetBrains.ReSharper.UnitTesting.MSTest.Provider.dll, JetBrains.ReSharper.UnitTesting.VsTest.Provider.dll, JetBrains.ReSharper.UnitTestProvider.JavaScript.dll, JetBrains.ReSharper.UnitTestProvider.nUnit.dll, JetBrains.ReSharper.UnitTestProvider.Xunit.dll, JetBrains.ReSharper.UnitTestRunner.dotMemoryUnit.dll, JetBrains.ReSharper.UnitTestRunner.JavaScript.dll, JetBrains.ReSharperAutomationTools.CommandLine.Common.dll, JetBrains.ReSharperCpp.NativeSelfProfiler.exe, JetBrains.ReSharperCpp.RiderPlugin.dll, JetBrains.Rider.AfterInstall.exe, JetBrains.Rider.Backend.EnvironmentAnalyzer.exe, JetBrains.Rider.Backend.WebServices.dll, JetBrains.Rider.DotNetIpc.Abstractions.dll, JetBrains.Rider.DotNetIpc.Protocol.dll, JetBrains.Rider.IisUtil.exe, JetBrains.Rider.MacAgent.exe, JetBrains.Rider.Product.dll, JetBrains.Rider.Roslyn.Host.dll, JetBrains.Rider.Test.Framework.dll, JetBrains.Roslyn.Host.dll, JetBrains.Roslyn.Worker.exe, JetBrains.SignatureVerifier.dll, JetBrains.SvcUtil.dll, JetBrains.TeamCity.ServiceMessages.dll, JetBrains.TemplateEngine.dll, JetBrains.Toolset.ScriptSourcesCompiler.Interface.dll, JetBrains.UsageStatistics.dll, JetBrains.Uwp.Launcher.exe, JetLauncher32.exe, JetLauncher32c.exe, JetLauncher64.exe, JetLauncher64a.exe, JetLauncher64ac.exe, JetLauncher64c.exe, JetLauncherIL.exe, JetLauncherILc.exe, Lucene.Net.dll, Microsoft.Artifacts.Authentication.dll, Microsoft.Bcl.AsyncInterfaces.dll, Microsoft.Bcl.Memory.dll, Microsoft.CodeAnalysis.CSharp.dll, Microsoft.CodeAnalysis.CSharp.ExpressionEvaluator.ExpressionCompiler.dll, Microsoft.CodeAnalysis.CSharp.Features.dll, Microsoft.CodeAnalysis.CSharp.Scripting.dll, Microsoft.CodeAnalysis.CSharp.Workspaces.dll, Microsoft.CodeAnalysis.dll, Microsoft.CodeAnalysis.Elfie.dll, Microsoft.CodeAnalysis.ExpressionEvaluator.ExpressionCompiler.dll, Microsoft.CodeAnalysis.ExternalAccess.AspNetCore.dll, Microsoft.CodeAnalysis.ExternalAccess.RazorCompiler.dll, Microsoft.CodeAnalysis.Features.dll, Microsoft.CodeAnalysis.FlowAnalysis.Utilities.dll, Microsoft.CodeAnalysis.LanguageServer.Protocol.dll, Microsoft.CodeAnalysis.Scripting.dll, Microsoft.CodeAnalysis.VisualBasic.dll, Microsoft.CodeAnalysis.VisualBasic.Features.dll, Microsoft.CodeAnalysis.VisualBasic.Workspaces.dll, Microsoft.CodeAnalysis.Workspaces.dll, Microsoft.Deployment.Compression.Cab.dll, Microsoft.Deployment.Compression.dll, Microsoft.Deployment.WindowsInstaller.dll, Microsoft.Diagnostics.NETCore.Client.dll, Microsoft.DiaSymReader.dll, Microsoft.DiaSymReader.Native.amd64.dll, Microsoft.DiaSymReader.Native.arm.dll, Microsoft.DiaSymReader.Native.x86.dll, Microsoft.DiaSymReader.PortablePdb.dll, Microsoft.DotNet.DesignTools.Protocol.dll, Microsoft.DotNet.DesignTools.Server.dll, Microsoft.Extensions.Configuration.Abstractions.dll, Microsoft.Extensions.DependencyInjection.Abstractions.dll, Microsoft.Extensions.DependencyInjection.dll, Microsoft.Extensions.DependencyModel.dll, Microsoft.Extensions.FileProviders.Abstractions.dll, Microsoft.Extensions.FileSystemGlobbing.dll, Microsoft.Extensions.Http.dll, Microsoft.Extensions.Logging.Abstractions.dll, Microsoft.Extensions.Logging.dll, Microsoft.Extensions.Options.dll, Microsoft.Extensions.Primitives.dll, Microsoft.FileFormats.dll, Microsoft.Identity.Client.Broker.dll, Microsoft.Identity.Client.dll, Microsoft.Identity.Client.Extensions.Msal.dll, Microsoft.Identity.Client.NativeInterop.dll, Microsoft.IdentityModel.Abstractions.dll, Microsoft.IdentityModel.JsonWebTokens.dll, Microsoft.IdentityModel.Logging.dll, Microsoft.IdentityModel.Tokens.dll, Microsoft.IO.RecyclableMemoryStream.dll, Microsoft.Owin.dll, Microsoft.Owin.FileSystems.dll, Microsoft.Owin.Host.HttpListener.dll, Microsoft.Owin.Hosting.dll, Microsoft.Owin.StaticFiles.dll, Microsoft.TestPlatform.CommunicationUtilities.dll, Microsoft.TestPlatform.CoreUtilities.dll, Microsoft.TestPlatform.PlatformAbstractions.dll, Microsoft.TestPlatform.Utilities.dll, Microsoft.TestPlatform.VsTestConsole.TranslationLayer.dll, Microsoft.VisualBasic.dll, Microsoft.VisualStudio.Designer.Interfaces.dll, Microsoft.VisualStudio.Shell.Interop.8.0.dll, Microsoft.VisualStudio.TestPlatform.Common.dll, Microsoft.VisualStudio.TestPlatform.ObjectModel.dll, Microsoft.Web.Administration.dll, Microsoft.Web.WebView2.Core.dll, Microsoft.Web.WebView2.WinForms.dll, Microsoft.Web.WebView2.Wpf.dll, Microsoft.Web.XmlTransform.dll, Microsoft.Win32.Registry.dll, Microsoft.WindowsAPICodePack.dll, Microsoft.WindowsAPICodePack.Shell.dll, Microsoft.WinForms.Utilities.Shared.dll, Mono.Cecil.dll, Mono.Cecil.Mdb.dll, Mono.Cecil.Pdb.dll, Mono.Cecil.Rocks.dll, Mono.Debugger.Soft.dll, Mono.Debugging.dll, Mono.Debugging.Soft.dll, Mono.Debugging.Soft.Packets.dll, Mono.Debugging.Win32.dll, Mono.DebuggingHelp.dll, monodoc.dll, Newtonsoft.Json.dll, NuGet.Commands.dll, NuGet.Common.dll, NuGet.Configuration.dll, NuGet.Core.dll, NuGet.Credentials.dll, NuGet.DependencyResolver.Core.dll, NuGet.Frameworks.dll, NuGet.LibraryModel.dll, NuGet.PackageManagement.dll, NuGet.Packaging.dll, NuGet.ProjectModel.dll, NuGet.Protocol.dll, NuGet.Resolver.dll, NuGet.Versioning.dll, NVelocity.dll, OperatorsResolveCacheGenerator.exe, Owin.dll, plist-cil.dll, Polly.dll, PsiGen.exe, Rider.Backend.exe, Rider.Backend64.exe, RiderJITDebuggerLauncher32.exe, RiderJITDebuggerLauncher64.exe, RiderJITDebuggerLauncher64a.exe, RiderWinFormsDesignerLauncher32.exe, RiderWinFormsDesignerLauncher64.exe, RiderWinFormsDesignerLauncher64a.exe, RiderWpfPreviewerLauncher32.exe, RiderWpfPreviewerLauncher64.exe, RiderWpfPreviewerLauncher64a.exe, SharpGen.Runtime.COM.dll, SharpGen.Runtime.dll, Sprache.dll, SQLitePCLRaw.core.dll, System.Buffers.dll, System.CodeDom.dll, System.Collections.Immutable.dll, System.Composition.AttributedModel.dll, System.Composition.Convention.dll, System.Composition.Hosting.dll, System.Composition.Runtime.dll, System.Composition.TypedParts.dll, System.Configuration.ConfigurationManager.dll, System.Design.dll, System.Diagnostics.DiagnosticSource.dll, System.Diagnostics.TraceSource.dll, System.Drawing.Common.dll, System.Drawing.dll, System.IO.FileSystem.AccessControl.dll, System.IO.Packaging.dll, System.IO.Pipelines.dll, System.Linq.Async.dll, System.Memory.dll, System.Numerics.Vectors.dll, System.Reactive.dll, System.Reflection.DispatchProxy.dll, System.Reflection.Metadata.dll, System.Reflection.TypeExtensions.dll, System.Runtime.CompilerServices.Unsafe.dll, System.Runtime.InteropServices.RuntimeInformation.dll, System.Security.AccessControl.dll, System.Security.Cryptography.ProtectedData.dll, System.Security.Permissions.dll, System.Security.Principal.Windows.dll, System.ServiceModel.dll, System.ServiceProcess.ServiceController.dll, System.Text.Encoding.CodePages.dll, System.Text.Encodings.Web.dll, System.Text.Json.dll, System.Threading.Channels.dll, System.Threading.Tasks.Extensions.dll, System.ValueTuple.dll, TokenGenerator.exe, UIAutomationClient.dll, UIAutomationProvider.dll, UIAutomationTypes.dll, Vestris.ResourceLib.dll, WindowsFormsIntegration.dll, WpfContrib.dll, xunit.abstractions.dll, xunit.dll, xunit.runner.utility.net452.dll, YamlDotNet.dll], NuGet files (0pcs)[].
19:51:18.642 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE (no PID suffix).
19:51:18.642 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE (no PID suffix) has the value /tmp/AdditionalDeployedPackages.xml.
19:51:18.644 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE_PID_00000098 (PID-specific).
