# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.total.get.count,1757015476286000000,1757015580973000000,46
workspaceModel.loading.total.ms,1757015476286000000,1757015580973000000,113
workspaceModel.workspaceFileIndexData.instances.count,1757015476286000000,1757015580973000000,1
workspaceModel.on.changed.ms,1757015476286000000,1757015580973000000,249
workspaceModel.cachedValueWithParameters.total.get.count,1757015476286000000,1757015580973000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1757015476286000000,1757015580973000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1757015476286000000,1757015580973000000,34
workspaceModel.full.replace.project.model.ms,1757015476286000000,1757015580973000000,44
workspaceModel.updates.count,1757015476286000000,1757015580973000000,3
workspaceModel.update.unloaded.entities.ms,1757015476286000000,1757015580973000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1757015476286000000,1757015580973000000,0
workspaceModel.updates.precise.ms,1757015476286000000,1757015580973000000,7
workspaceModel.entityStorageSnapshotImpl.instances.count,1757015476286000000,1757015580973000000,21
workspaceModel.cachedValue.from.cache.count,1757015476286000000,1757015580973000000,33
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1757015476286000000,1757015580973000000,31
workspaceModel.loading.from.cache.ms,1757015476286000000,1757015580973000000,98
workspaceModel.replace.project.model.ms,1757015476286000000,1757015580973000000,0
workspaceModel.collect.changes.ms,1757015476286000000,1757015580973000000,0
workspaceModel.cachedValue.clear.count,1757015476286000000,1757015580973000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1757015476286000000,1757015580973000000,6254
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1757015476286000000,1757015580973000000,0
workspaceModel.check.recursive.update.ms,1757015476286000000,1757015580973000000,2
workspaceModel.to.snapshot.ms,1757015476286000000,1757015580973000000,0
workspaceModel.on.before.changed.ms,1757015476286000000,1757015580973000000,123
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1757015476286000000,1757015580973000000,0
workspaceModel.workspaceFileIndexData.init.ms,1757015476286000000,1757015580973000000,1
workspaceModel.cachedValueWithParameters.clear.count,1757015476286000000,1757015580973000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1757015476286000000,1757015580973000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1757015476286000000,1757015580973000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1757015476286000000,1757015580973000000,0
workspaceModel.init.bridges.ms,1757015476286000000,1757015580973000000,8
workspaceModel.initializing.ms,1757015476286000000,1757015580973000000,5
workspaceModel.cachedValue.calculated.count,1757015476286000000,1757015580973000000,13
workspaceModel.pre.handlers.ms,1757015476286000000,1757015580973000000,1
workspaceModel.updates.ms,1757015476286000000,1757015580973000000,383
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1757015476286000000,1757015580973000000,1968
Indexing.writesQueuedMin,1757015476286000000,1757015580973000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1757015476286000000,1757015580973000000,0
Indexing.cache.totalCacheAccesses,1757015476286000000,1757015580973000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1757015476286000000,1757015580973000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1757015476286000000,1757015580973000000,0
Indexing.totalTimeIndexersSleptMs,1757015476286000000,1757015580973000000,0
Indexing.cache.totalCacheMisses,1757015476286000000,1757015580973000000,0
Indexing.cache.totalCacheEvicted,1757015476286000000,1757015580973000000,0
Indexing.writesQueuedAvg,1757015476286000000,1757015580973000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1757015476286000000,1757015580973000000,0
Indexing.writesQueuedMax,1757015476286000000,1757015580973000000,0
NonBlockingReadAction.failedExecutionsCount,1757015476286000000,1757015580973000000,1
AWTEventQueue.dispatchTimeTotalNS,1757015476286000000,1757015580973000000,23020327681
FlushQueue.waitingTimeMaxNs,1757015476286000000,1757015580973000000,0
AWTEventQueue.dispatchTime90PNs,1757015476286000000,1757015580973000000,0
FlushQueue.queueSizeMax,1757015476286000000,1757015580973000000,0
WriteAction.executionsCount,1757015476286000000,1757015580973000000,12
NonBlockingReadAction.failedExecutionTimeUs,1757015476286000000,1757015580973000000,2628724
FlushQueue.queueSize90P,1757015476286000000,1757015580973000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757015476286000000,1757015580973000000,1145489
NonBlockingReadAction.finalizedExecutionsCount,1757015476286000000,1757015580973000000,6
FlushQueue.queueSizeAvg,1757015476286000000,1757015580973000000,0.0
AWTEventQueue.eventsDispatched,1757015476286000000,1757015580973000000,0
FlushQueue.executionTime90PNs,1757015476286000000,1757015580973000000,0
FlushQueue.waitingTime90PNs,1757015476286000000,1757015580973000000,0
AWTEventQueue.dispatchTimeAvgNs,1757015476286000000,1757015580973000000,0.0
FlushQueue.executionTimeMaxNs,1757015476286000000,1757015580973000000,0
FlushQueue.executionTimeAvgNs,1757015476286000000,1757015580973000000,0.0
FlushQueue.waitingTimeAvgNs,1757015476286000000,1757015580973000000,0.0
FlushQueue.tasksExecuted,1757015476286000000,1757015580973000000,0
AWTEventQueue.dispatchTimeMaxNs,1757015476286000000,1757015580973000000,0
ReadAction.executionsCount,1757015476286000000,1757015580973000000,3718
FilePageCache.pageFastCacheHits,1757015476286000000,1757015580973000000,11848
StreamlinedBlobStorage.recordsRelocated,1757015476286000000,1757015580973000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1757015476286000000,1757015580973000000,0
StreamlinedBlobStorage.recordsDeleted,1757015476286000000,1757015580973000000,0
MappedFileStorage.storages,1757015476286000000,1757015580973000000,9
MappedFileStorage.totalPagesMapped,1757015476286000000,1757015580973000000,9
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1757015476286000000,1757015580973000000,176160768
FileChannelInterruptsRetryer.totalRetriedAttempts,1757015476286000000,1757015580973000000,0
StreamlinedBlobStorage.recordsAllocated,1757015476286000000,1757015580973000000,137
FilePageCache.uncachedFileAccess,1757015476286000000,1757015580973000000,316
FilePageCache.maxCacheSizeInBytes,1757015476286000000,1757015580973000000,176160768
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1757015476286000000,1757015580973000000,11208
FilePageCache.maxRegisteredFiles,1757015476286000000,1757015580973000000,465
FilePageCache.totalPageDisposalsUs,1757015476286000000,1757015580973000000,2280
MappedFileStorage.totalBytesMapped,1757015476286000000,1757015580973000000,173277184
DirectByteBufferAllocator.hits,1757015476286000000,1757015580973000000,3
DirectByteBufferAllocator.reclaimed,1757015476286000000,1757015580973000000,3
DirectByteBufferAllocator.misses,1757015476286000000,1757015580973000000,168
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1757015476286000000,1757015580973000000,2741
StorageLockContext.competingThreads.90P,1757015476286000000,1757015580973000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1757015476286000000,1757015580973000000,3062058
FilePageCache.capacityInBytes,1757015476286000000,1757015580973000000,629145600
StorageLockContext.competingThreads.max,1757015476286000000,1757015580973000000,0
FilePageCache.pageLoads,1757015476286000000,1757015580973000000,171
FilePageCache.disposedBuffers,1757015476286000000,1757015580973000000,3
StorageLockContext.competingThreads.avg,1757015476286000000,1757015580973000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757015476286000000,1757015580973000000,0
DirectByteBufferAllocator.disposed,1757015476286000000,1757015580973000000,0
FilePageCache.pageHits,1757015476286000000,1757015580973000000,0
FilePageCache.totalPageLoadsUs,1757015476286000000,1757015580973000000,1307851
VFS.contentStorage.recordsReadSize,1757015476286000000,1757015580973000000,0
VFS.contentStorage.recordsUncompressedSize,1757015476286000000,1757015580973000000,35304
VFS.folderCaseSensitivityReads,1757015476286000000,1757015580973000000,26
VFS.contentStorage.recordsRead,1757015476286000000,1757015580973000000,0
FileNameCache.totalMisses,1757015476286000000,1757015580973000000,0
VFS.contentStorage.recordsStoredCompressed,1757015476286000000,1757015580973000000,1
VFS.contentStorage.recordsDecompressionTimeUs,1757015476286000000,1757015580973000000,0
VFS.contentStorage.recordsDeduplicated,1757015476286000000,1757015580973000000,0
VFS.fileByIdCache.misses,1757015476286000000,1757015580973000000,0
VFS.contentStorage.recordsStored,1757015476286000000,1757015580973000000,2
FileNameCache.queries,1757015476286000000,1757015580973000000,64128
VFS.contentStorage.recordsReadDecompressed,1757015476286000000,1757015580973000000,0
VFS.fileChildByName,1757015476286000000,1757015580973000000,1430
VFS.contentStorage.recordsStoredSize,1757015476286000000,1757015580973000000,19223
VFS.fileByIdCache.hits,1757015476286000000,1757015580973000000,0
VFS.invertedFileNameIndex.requests,1757015476286000000,1757015580973000000,0
JVM.maxThreadCount,1757015476286000000,1757015580973000000,133
JVM.totalTimeAtSafepointsMs,1757015476286000000,1757015580973000000,3936
JVM.totalBytesAllocated,1757015476286000000,1757015580973000000,929263096
JVM.usedHeapBytes,1757015476286000000,1757015580973000000,245368168
JVM.totalDirectByteBuffersBytes,1757015476286000000,1757015580973000000,178081062
JVM.GC.collections,1757015476286000000,1757015580973000000,24
JVM.threadCount,1757015476286000000,1757015580973000000,84
MEM.ramMinusFileMappingsBytes,1757015476286000000,1757015580973000000,979464192
JVM.totalCpuTimeMs,1757015476286000000,1757015580973000000,177570
JVM.totalSafepointCount,1757015476286000000,1757015580973000000,208
JVM.committedHeapBytes,1757015476286000000,1757015580973000000,861929472
JVM.newThreadsCount,1757015476286000000,1757015580973000000,151
JVM.maxHeapBytes,1757015476286000000,1757015580973000000,2877292544
MEM.ramBytes,1757015476286000000,1757015580973000000,1374543872
MEM.fileMappingsRamBytes,1757015476286000000,1757015580973000000,395079680
JVM.GC.collectionTimesMs,1757015476286000000,1757015580973000000,2537
JVM.totalTimeToSafepointsMs,1757015476286000000,1757015580973000000,31634
MEM.ramPlusSwapMinusFileMappingsBytes,1757015476286000000,1757015580973000000,1005023232
OS.loadAverage,1757015476286000000,1757015580973000000,27.51953125
JVM.usedNativeBytes,1757015476286000000,1757015580973000000,242646096
workspaceModel.moduleManagerBridge.build.module.graph.ms,1757015476286000000,1757015580973000000,0
jps.save.global.entities.ms,1757015476286000000,1757015580973000000,0
jps.save.changed.project.entities.ms,1757015476286000000,1757015580973000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1757015476286000000,1757015580973000000,46
workspaceModel.orphan.listener.update.ms,1757015476286000000,1757015580973000000,11
jps.global.get.library.by.name.ms,1757015476286000000,1757015580973000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1757015476286000000,1757015580973000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1757015476286000000,1757015580973000000,0
workspaceModel.global.updates.count,1757015476286000000,1757015580973000000,0
jps.project.serializers.save.ms,1757015476286000000,1757015580973000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1757015476286000000,1757015580973000000,0
jps.facet.change.listener.process.change.events.ms,1757015476286000000,1757015580973000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1757015476286000000,1757015580973000000,79
jps.load.project.to.empty.storage.ms,1757015476286000000,1757015580973000000,169
workspaceModel.moduleManagerBridge.get.modules.ms,1757015476286000000,1757015580973000000,9
jps.artifact.entities.serializer.save.entities.ms,1757015476286000000,1757015580973000000,0
jps.facet.change.listener.init.bridge.ms,1757015476286000000,1757015580973000000,2
jps.storage.jps.conf.reader.load.component.ms,1757015476286000000,1757015580973000000,7
